kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:52:52 +0000] "GET /static/css/normalize.min.css HTTP/1.1" 200 (912 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:52:52 +0000] "GET /static/compiled/app-0d7a490cd2ebc6452d34.js HTTP/1.1" 200 (235188 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:52:53 +0000] "GET /static/img/kobologo.svg HTTP/1.1" 200 (5219 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:52:53 +0000] "GET /static/compiled/vendors-0d7a490cd2ebc6452d34.js HTTP/1.1" 200 (920879 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:52:54 +0000] "GET /me/ HTTP/1.1" 200 (35 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:52:54 +0000] "GET /environment/ HTTP/1.1" 200 (11602 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:52:55 +0000] "GET /static/compiled/signup_photo.jpg HTTP/1.1" 200 (240955 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:52:55 +0000] "GET /static/compiled/Roboto-Regular.woff2 HTTP/1.1" 200 (64632 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:52:55 +0000] "GET /static/compiled/Roboto-Bold.woff2 HTTP/1.1" 200 (64740 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:52:55 +0000] "GET /static/img/favicon.ico HTTP/1.1" 200 (15086 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
